ID,Area_px,Width,Height,Color_RGB,Percentage
1,53636,253,212,"(228, 67, 53)",5.800543327796235
2,100902,502,201,"(85, 189, 246)",10.91219372923588
3,21266,217,98,"(228, 67, 54)",2.2998425387596897
4,16786,218,77,"(221, 220, 217)",1.8153464147286822
5,53340,254,210,"(93, 193, 87)",5.768531976744186
6,53889,253,213,"(230, 133, 12)",5.827904381229236
7,16786,218,77,"(92, 192, 86)",1.8153464147286822
8,94377,489,193,"(85, 189, 245)",10.206538102159469
9,97305,499,195,"(229, 67, 54)",10.523190926079733
