ID,Area_px,Width,Height,Color_RGB,Percentage
1,30923,289,107,"(117, 212, 113)",3.3442128668327795
2,62715,339,185,"(138, 160, 242)",6.782405004152824
3,12462,67,186,"(137, 158, 234)",1.3477211378737541
4,66495,341,195,"(244, 181, 94)",7.191198608803987
5,78399,279,281,"(245, 127, 108)",8.47857402408638
6,37410,258,145,"(117, 212, 113)",4.045758928571429
7,18779,211,89,"(142, 163, 243)",2.0308823020487266
8,2278,134,17,"(171, 187, 153)",0.2463576273532669
9,55080,408,135,"(115, 212, 111)",5.956706810631229
