ID,Area_px,Width,Height,Color_RGB,Percentage
1,11245,173,65,"(85, 179, 72)",1.2161069006090808
2,24795,171,145,"(227, 117, 2)",2.6814913828903655
3,24795,171,145,"(83, 178, 69)",2.6814913828903655
4,24566,173,142,"(89, 188, 250)",2.6567258444075303
5,25112,172,146,"(227, 117, 3)",2.7157738095238098
6,24940,172,145,"(82, 178, 68)",2.697172619047619
7,59000,200,295,"(220, 51, 42)",6.380640919158361
8,15688,74,212,"(225, 117, 5)",1.6966016057585827
9,50410,355,142,"(90, 189, 252)",5.451662859911406
