ID,Area_px,Width,Height,Color_RGB,Percentage
1,58534,259,226,"(92, 178, 88)",6.330244670542635
2,152053,601,253,"(92, 179, 89)",16.443993113233667
3,171985,649,265,"(81, 189, 248)",18.599568279346624
