ID,Area_px,Width,Height,Color_RGB,Percentage
1,23125,185,125,"(241, 60, 43)",2.5008868009413066
2,13986,111,126,"(85, 195, 247)",1.5125363372093024
3,24500,196,125,"(84, 195, 248)",2.6495881782945734
4,25000,200,125,"(84, 194, 247)",2.703661406423034
5,22875,183,125,"(96, 204, 84)",2.473850186877076
6,6720,112,60,"(85, 193, 245)",0.7267441860465116
7,14740,110,134,"(239, 59, 42)",1.5940787652270212
8,6608,112,59,"(235, 131, 3)",0.7146317829457364
9,23048,172,134,"(96, 204, 84)",2.492559523809524
