ID,Area_px,Width,Height,Color_RGB,Percentage
1,68724,276,249,"(94, 192, 91)",7.432257059800665
2,12524,101,124,"(164, 188, 230)",1.3544262181616833
3,48279,399,121,"(86, 189, 245)",5.221202761627907
4,38755,337,115,"(86, 188, 244)",4.191215912236988
5,54252,396,137,"(94, 193, 91)",5.867161544850498
6,50140,436,115,"(86, 188, 244)",5.4224633167220375
7,49476,399,124,"(85, 188, 245)",5.350654069767442
8,18816,168,112,"(126, 206, 238)",2.0348837209302326
9,14832,103,144,"(223, 64, 48)",1.6040282392026577
