ID,Area_px,Width,Height,Color_RGB,Percentage
1,24990,255,98,"(101, 181, 90)",2.7025799418604652
2,15958,158,101,"(223, 127, 14)",1.7258011489479512
3,57568,257,224,"(213, 58, 53)",6.22577519379845
4,57568,257,224,"(101, 181, 90)",6.22577519379845
5,24050,185,130,"(103, 179, 228)",2.600922272978959
6,50552,284,178,"(225, 125, 8)",5.467019656699889
7,31886,149,214,"(104, 180, 229)",3.448357904208195
8,34272,288,119,"(231, 144, 49)",3.7063953488372094
9,30960,258,120,"(105, 185, 236)",3.3482142857142856
10,28560,255,112,"(107, 186, 236)",3.0886627906976742
11,22999,109,211,"(99, 177, 90)",2.4872603474529345
12,21660,114,190,"(107, 187, 237)",2.342452242524917
13,26001,243,107,"(97, 175, 87)",2.8119160091362128
14,93912,258,364,"(213, 58, 53)",10.15625
