ID,Area_px,Width,Height,Color_RGB,Percentage
1,25284,258,98,"(83, 184, 82)",2.7144249721944282
2,57792,258,224,"(227, 119, 8)",6.204399936444408
3,57792,258,224,"(82, 184, 82)",6.204399936444408
4,126212,556,227,"(74, 182, 242)",13.549794517900777
