ID,Area_px,Width,Height,Color_RGB,Percentage
1,124128,431,288,"(250, 81, 64)",13.424003322259138
2,64152,264,243,"(115, 205, 95)",6.937811461794021
3,184064,719,256,"(109, 197, 246)",19.905869324473976
4,77024,232,332,"(248, 80, 64)",8.329872646733111
