ID,Area_px,Width,Height,Color_RGB,Percentage
1,52416,364,144,"(83, 180, 73)",5.6686046511627906
2,7176,69,104,"(239, 114, 7)",0.7760589700996677
3,58123,221,263,"(82, 181, 246)",6.285796477021041
4,8736,84,104,"(239, 178, 7)",0.944767441860465
5,23958,198,121,"(244, 115, 5)",2.5909727990033224
6,11400,95,120,"(81, 179, 69)",1.2328696013289036
7,11760,84,140,"(82, 179, 71)",1.2718023255813953
8,46361,179,259,"(230, 44, 37)",5.013777858527132
9,30969,279,111,"(82, 179, 71)",3.3491876038205977
10,40964,308,133,"(83, 180, 245)",4.430111434108527
