ID,Area_px,Width,Height,Color_RGB,Percentage
1,6550,131,50,"(86, 173, 72)",0.708359288482835
2,15162,133,114,"(218, 113, 4)",1.639716569767442
3,15162,133,114,"(85, 174, 72)",1.639716569767442
4,3402,126,27,"(88, 174, 75)",0.3679142441860465
5,17280,270,64,"(89, 183, 237)",1.8687707641196014
6,29700,270,110,"(88, 185, 242)",3.2119497508305646
7,22750,125,182,"(218, 44, 36)",2.460331879844961
8,13923,63,221,"(84, 171, 72)",1.5057231104651163
9,43758,198,221,"(84, 173, 71)",4.732272632890366
