ID,Area_px,Width,Height,Color_RGB,Percentage
1,13182,169,78,"(83, 177, 66)",1.4255865863787376
2,10240,128,80,"(83, 179, 67)",1.1074197120708749
3,14803,131,113,"(235, 118, 4)",1.600891991971207
4,14560,130,112,"(83, 179, 66)",1.574612403100775
5,9310,95,98,"(231, 114, 2)",1.006843507751938
6,8460,141,60,"(84, 181, 67)",0.9149190199335547
7,6063,47,129,"(85, 179, 69)",0.6556919642857143
8,2209,47,47,"(209, 50, 37)",0.23889552187153934
9,33120,288,115,"(80, 184, 242)",3.581810631229236
10,31020,132,235,"(234, 48, 34)",3.3547030730897007
11,67158,182,369,"(79, 184, 242)",7.262899709302325
