ID,Area_px,Width,Height,Color_RGB,Percentage
1,11664,162,72,"(233, 70, 50)",1.2614202657807307
2,59904,384,156,"(233, 131, 18)",6.4784053156146175
3,56166,253,222,"(92, 191, 88)",6.074153862126246
