ID,Area_px,Width,Height,Color_RGB,Percentage
1,7031,89,79,"(242, 132, 4)",0.7603777339424141
2,14615,185,79,"(92, 216, 79)",1.580560458194906
3,14850,90,165,"(247, 63, 43)",1.6059748754152823
4,14850,90,165,"(83, 205, 250)",1.6059748754152823
5,14536,184,79,"(249, 64, 43)",1.572016888150609
6,7110,90,79,"(83, 204, 248)",0.768921303986711
7,3115,89,35,"(91, 208, 79)",0.3368762112403101
8,15066,186,81,"(82, 205, 248)",1.6293345099667775
9,3560,89,40,"(85, 204, 246)",0.3850013842746401
10,7120,89,80,"(245, 132, 4)",0.7700027685492802
11,7290,90,81,"(92, 213, 79)",0.7883876661129567
12,14880,186,80,"(83, 207, 250)",1.60921926910299
13,14720,184,80,"(248, 63, 43)",1.5919158361018826
