ID,Area_px,Width,Height,Color_RGB,Percentage
1,9486,153,62,"(248, 62, 40)",1.0258772840531563
2,20536,151,136,"(89, 198, 246)",2.2208956256921373
3,9856,154,64,"(245, 59, 39)",1.065891472868217
4,20672,152,136,"(88, 198, 246)",2.235603543743079
5,30856,152,203,"(249, 60, 39)",3.3369670542635657
6,8607,151,57,"(96, 223, 76)",0.9308165490033222
7,21597,313,69,"(244, 133, 2)",2.335639015780731
8,20655,153,135,"(245, 134, 3)",2.233765053986711
9,20520,152,135,"(95, 222, 77)",2.2191652823920265
10,20672,152,136,"(87, 198, 246)",2.235603543743079
11,20536,151,136,"(96, 223, 78)",2.2208956256921373
12,43292,316,137,"(87, 198, 249)",4.68187638427464
