ID,Area_px,Width,Height,Color_RGB,Percentage
1,19494,171,114,"(230, 118, 3)",2.1082070182724255
2,15276,134,114,"(87, 185, 62)",1.652045265780731
3,16065,189,85,"(91, 188, 247)",1.737372819767442
4,8550,150,57,"(88, 186, 246)",0.9246522009966778
5,8772,86,102,"(228, 120, 3)",0.9486607142857142
6,11970,90,133,"(90, 188, 247)",1.294513081395349
7,34281,293,117,"(90, 188, 249)",3.7073686669435215
8,25152,131,192,"(227, 49, 37)",2.7200996677740865
9,14852,188,79,"(88, 186, 247)",1.6061911683277963
