ID,Area_px,Width,Height,Color_RGB,Percentage
1,9720,162,60,"(105, 214, 88)",1.0511835548172759
2,11993,179,67,"(249, 76, 52)",1.297000449889258
3,11926,178,67,"(249, 207, 198)",1.2897546373200444
4,21896,161,136,"(246, 145, 7)",2.36797480620155
5,21624,159,136,"(103, 212, 86)",2.338558970099668
6,43885,335,131,"(99, 205, 251)",4.7460072328349945
7,20305,155,131,"(249, 74, 51)",2.1959137942967883
8,20567,157,131,"(104, 213, 87)",2.224248165836102
9,45968,338,136,"(98, 204, 250)",4.971276301218162
10,38468,163,236,"(251, 75, 52)",4.160177879291251
11,13572,78,174,"(245, 145, 7)",1.4677637043189369
12,29064,168,173,"(99, 206, 251)",3.1431686046511627
13,13572,78,174,"(245, 145, 7)",1.4677637043189369
