ID,Area_px,Width,Height,Color_RGB,Percentage
1,21605,145,149,"(158, 158, 157)",2.336504187430786
2,16302,209,78,"(94, 194, 84)",1.7630035299003322
3,37769,211,179,"(230, 131, 14)",4.084583506367663
4,37232,208,179,"(93, 193, 84)",4.026508859357696
5,9129,51,179,"(155, 155, 153)",0.9872689991694352
6,3536,52,68,"(218, 128, 17)",0.38240586932447396
7,80990,445,182,"(88, 191, 250)",8.758781492248062
8,62721,207,303,"(227, 58, 45)",6.783053882890365
9,74431,217,343,"(229, 205, 91)",8.049448885658915
