ID,Area_px,Width,Height,Color_RGB,Percentage
1,15004,124,121,"(100, 208, 248)",1.6226294296788482
2,47121,339,139,"(100, 214, 90)",5.095969165282392
3,25728,268,96,"(246, 60, 46)",2.782392026578073
4,15375,125,123,"(243, 129, 5)",1.6627517649501662
5,54168,366,148,"(97, 208, 251)",5.858077242524917
